NLY^C,Annaly Capital Management Inc,n/a,n/a,https://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,n/a,n/a,https://www.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,n/a,n/a,https://www.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,n/a,n/a,https://www.nasdaq.com/symbol/nly^g
AMGP,Antero Midstream GP LP,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
ANTM,Anthem, Inc.,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
ANTX,Anthem, Inc.,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
AON,Aon plc,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
APA,Apache Corporation,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,n/a,n/a,https://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari
ARI^C,Apollo Commercial Real Estate Finance,n/a,n/a,https://www.nasdaq.com/symbol/ari^c
APO,Apollo Global Management, LLC,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
APO^A,Apollo Global Management, LLC,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
AIY,Apollo Investment Corporation,n/a,n/a,https://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,n/a,n/a,https://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,n/a,n/a,https://www.nasdaq.com/symbol/aif
APLE,Apple Hospitality REIT, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple
AIT,Applied Industrial Technologies, Inc.,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait
ATR,AptarGroup, Inc.,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr
